Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),Description
ibtm5640,Fuel Cells for Buildings,[3-0-0:3],,,,,,IBTM 6010F,,Fuel cells in buildings. Fuel cell principles: thermodynamics@ kinetics@ and mass transport. Fuel cell types. System analysis and life cycle assessment. Thermal management. Cogeneration and trigeneration fuel cell systems in buildings.
ibtm6010,Special Topics in Intelligent Building Systems,[3-0-0:3],,,,,,IBTM 601,,Selected topics of current interest.  May be repeated for credit if different topics are covered.
ibtm6950,Independent Studies,[3 or 6 credits],,,,,,IBTM 695,,An independent project carried out under the supervision of a faculty member.  May be graded PP.
idpo6500,Special Topics for Interdisciplinary Studies,[1-4 credit(s)],,,,,,,,This course covers selected topics of current interest in emerging interdisciplinary areas which are not covered in the present curriculum. May be repeated for credit if different topics are covered. May be graded by letter@ P/F for different offerings.
idpo6770,Professional Development for Interdisciplinary Programs,[0-1-0:1],,,,,,,,This one-credit course aims at providing research postgraduate students basic training in ethics@ teaching skills@ research management@ career development@ and related professional skills. This course consists of a number of mini-workshops. Graded PP@ P or F.
idpo6950,Interdisciplinary Project,[0-4 credit(s)],,,,,,,,An independent project on selected interdisciplinary topics carried out under the supervision of a faculty member. The course may be repeated once for credit. Enrollment requires approval of course instructor. Maybe graded by letter@ P/F for different offerings.
ieda5120,Revenue Management and Pricing Analytics,[3-0-0:3],,,,,,IEDA 6100C,,Ph.D.-level course covering current topics in Revenue Management and Pricing Analytics. The goal of the course is to provide students with the background and tools required to perform research in the field. The course is divided into two parts. Part 1 goes for ten weeks and consists of a combination of lectures on discrete-choice models@ assortment optimization@ revenue management with dependent demands@ followed by lectures on pricing analytics including basic pricing theory@ dynamic pricing and on-line learning. The lectures will be interspersed with paper presentations that reinforce the theory. Students are expected to read the material provided before coming to class. Part 2 will take place during the three last weeks of the course and will be devoted to project presentations. The instructor will provide a list of current research topics from which the students can select a class project@ but students are free to propose their own projects.
ieda5170,Production and Operations Management,[3-0-0:3],,ISOM 5700,,,,IELM 5170@ IELM 517@ IEEM 517,,The course introduces concepts@ principals and techniques related to the design@ planning@ management and improvement of both manufacturing and service operations. Topics include demand forecasting and estimation@ inventory management@ production control and process improvement@ queueing systems@ procurement and supply chain management.
ieda5230,Deterministic Models in Operations Research,[3-0-0:3],IEDA 3010,,,,,IELM 5230@ IELM 523@ IEEM 523,,This course focuses on the theory and the use of deterministic optimization models for real life decision making problems. It covers linear@ integer@ combinatorial and nonlinear programming.
ieda5250,Stochastic Models in Operations Research,[3-0-0:3],,,,,,IELM 5250@ IELM 525@ IEEM 525,,Poisson processes@ renewal processes@ Markov processes. Fundamental concepts and applications of these stochastic processes demonstrated through examples in queueing@ inventory and reliability models.
ieda5260,Advanced Quality Technology and Data Analytics,[3-0-0:3],,,,,,IELM 5260@ IELM 526@ IEEM 526,,Fundamental principles of quality technology and data analytics@ including planning@ designing@ and analyzing statistical experiments@ randomized block@ factorial@ and fractional factorial experimental designs@ and other advanced statistical learning and machine learning techniques with application to quality and industrial engineering.
ieda5270,Engineering Statistics and Data Analytics,[3-0-0:3],,,,,,IELM 5270,,The course introduces advanced concepts and mathematical principles in statistical  inference (e.g.@ estimation theory@ hypothesis testing@ and regression models) and machine learning (e.g. classification and tree-based models@ support vector machines@ model selection@ and unsupervised learning). This course assumes the knowledge of multivariable calculus and probability.
ieda5470,Convex Optimization,[3-0-0:3],,ELEC 5470@ IOTA 5501,,ELEC 5470,,IEDA 6100A,,Convex optimization theory with applications in signal processing@ finance@ and machine learning. It covers fundamentals (convex sets/functions/problems@  Lagrange duality@ algorithms)@ more advanced optimization techniques (sparsity@ low-rank@ robust optimization@ decomposition methods@ distributed algorithms)@ and specific applications (e.g.@ portfolio optimization@ filter/beamforming design@ classification methods@ wireless communication systems@ circuit design@  image processing@ data-drived graph learning@ discrete MLE@ network optimization@ Internet protocol design@ etc.).For PG students in second year or above.
ieda6000,Special Topics in Manufacturing Systems,[1-3 credit(s)],,,,,,IELM 6000@ IELM 600@ IEEM 600,,Selected topics of current interest. May be repeated for credit if different topics covered.
